Index,Image,Labels,Predictions,Data Specialist's Note,Data Specialist,Data Assessment Date,Model used
15,antenna6.0036.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
16,antenna6.0044.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
17,antenna6.0021.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
18,antenna6.0063.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
19,antenna6.0040.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
20,antenna6.0027.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
21,antenna6.0051.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
22,antenna6.0014.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
23,antenna6.0010.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
24,antenna6.0042.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
25,antenna6.0054.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
26,antenna6.0052.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
27,antenna6.0032.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
28,antenna6.0030.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
29,antenna6.0037.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
30,antenna6.0064.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
31,antenna6.0069.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
32,antenna6.0047.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
33,antenna6.0024.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
34,antenna6.0013.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
35,antenna6.0009.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
36,antenna6.0016.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
37,antenna6.0026.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
38,antenna6.0017.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
39,antenna6.0043.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
40,antenna6.0000.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
41,antenna6.0061.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
42,antenna6.0011.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
43,antenna6.0062.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
44,antenna6.0068.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
45,antenna6.0045.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
46,antenna6.0003.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
47,antenna6.0006.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
48,antenna6.0055.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
49,antenna6.0058.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
50,antenna6.0038.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
51,antenna6.0057.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
52,antenna6.0033.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
53,antenna6.0018.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
54,antenna6.0002.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
55,antenna6.0029.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
56,antenna6.0022.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
57,antenna6.0048.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
58,antenna6.0046.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
59,antenna6.0041.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
60,antenna6.0007.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
61,antenna6.0031.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
62,antenna6.0023.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
63,antenna6.0056.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
64,antenna6.0005.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
65,antenna6.0034.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
66,antenna6.0035.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
67,antenna6.0012.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
68,antenna6.0001.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
69,antenna6.0039.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
